keep_frac,pos_scale,label,cone_frac
0.9,0.26,atlas_4l_pt4l_8tev,1.0
0.9,0.26,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.26,dijet_chi_7tev_cms,1.0
0.9,0.26,hgg_pt_8tev_atlas,1.0
0.9,0.26,pTll_106_170,1.0
0.9,0.26,pTll_170_350,1.0
0.9,0.26,pTll_50_76,1.0
0.9,0.26,pTll_76_106,1.0
0.9,0.26,phistar_50_76,1.0
0.9,0.26,ptll_76_106_table,0.625
0.9,0.26,ttbar_mtt_8tev_cms,1.0
0.9,0.26,z_pt_7tev_atlas,1.0
0.9,0.27,atlas_4l_m4l_8tev,1.0
0.9,0.27,atlas_4l_pt4l_8tev,1.0
0.9,0.27,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.27,dijet_chi_7tev_cms,1.0
0.9,0.27,hgg_pt_8tev_atlas,1.0
0.9,0.27,pTll_106_170,1.0
0.9,0.27,pTll_170_350,1.0
0.9,0.27,pTll_50_76,1.0
0.9,0.27,pTll_76_106,1.0
0.9,0.27,phistar_50_76,1.0
0.9,0.27,ptll_76_106_table,0.625
0.9,0.27,ttbar_mtt_8tev_cms,1.0
0.9,0.27,z_pt_7tev_atlas,1.0
0.9,0.28,atlas_4l_m4l_8tev,1.0
0.9,0.28,atlas_4l_pt4l_8tev,1.0
0.9,0.28,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.28,dijet_chi_7tev_cms,1.0
0.9,0.28,hgg_pt_8tev_atlas,1.0
0.9,0.28,pTll_106_170,1.0
0.9,0.28,pTll_170_350,1.0
0.9,0.28,pTll_50_76,1.0
0.9,0.28,pTll_76_106,1.0
0.9,0.28,phistar_50_76,1.0
0.9,0.28,ptll_76_106_table,0.625
0.9,0.28,ttbar_mtt_8tev_cms,0.875
0.9,0.28,z_pt_7tev_atlas,1.0
0.9,0.29,atlas_4l_m4l_8tev,1.0
0.9,0.29,atlas_4l_pt4l_8tev,1.0
0.9,0.29,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.29,dijet_chi_7tev_cms,1.0
0.9,0.29,hgg_pt_8tev_atlas,1.0
0.9,0.29,pTll_106_170,1.0
0.9,0.29,pTll_170_350,1.0
0.9,0.29,pTll_50_76,1.0
0.9,0.29,pTll_76_106,1.0
0.9,0.29,phistar_50_76,1.0
0.9,0.29,ptll_76_106_table,0.625
0.9,0.29,ttbar_mtt_8tev_cms,0.875
0.9,0.29,z_pt_7tev_atlas,1.0
0.9,0.3,atlas_4l_m4l_8tev,1.0
0.9,0.3,atlas_4l_pt4l_8tev,1.0
0.9,0.3,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.3,dijet_chi_7tev_cms,1.0
0.9,0.3,hgg_pt_8tev_atlas,1.0
0.9,0.3,pTll_106_170,1.0
0.9,0.3,pTll_170_350,1.0
0.9,0.3,pTll_50_76,1.0
0.9,0.3,pTll_76_106,1.0
0.9,0.3,phistar_50_76,1.0
0.9,0.3,ptll_76_106_table,0.625
0.9,0.3,ttbar_mtt_8tev_cms,0.875
0.9,0.3,z_pt_7tev_atlas,1.0
0.8,0.1,atlas_4l_m4l_8tev,1.0
0.8,0.1,atlas_4l_pt4l_8tev,1.0
0.8,0.1,dijet_chi_13tev_cms_mgt6,1.0
0.8,0.1,dijet_chi_7tev_cms,1.0
0.8,0.1,hgg_pt_8tev_atlas,1.0
0.8,0.1,pTll_106_170,1.0
0.8,0.1,pTll_170_350,1.0
0.8,0.1,pTll_50_76,1.0
0.8,0.1,pTll_76_106,1.0
0.8,0.1,phistar_50_76,1.0
0.8,0.1,ptll_76_106_table,1.0
0.8,0.1,ttbar_mtt_8tev_cms,1.0
0.8,0.1,z_pt_7tev_atlas,1.0
0.8,0.11,atlas_4l_m4l_8tev,1.0
0.8,0.11,atlas_4l_pt4l_8tev,1.0
0.8,0.11,dijet_chi_13tev_cms_mgt6,1.0
0.8,0.11,dijet_chi_7tev_cms,1.0
0.8,0.11,hgg_pt_8tev_atlas,1.0
0.8,0.11,pTll_106_170,1.0
0.8,0.11,pTll_170_350,1.0
0.8,0.11,pTll_50_76,1.0
0.8,0.11,pTll_76_106,1.0
0.8,0.11,phistar_50_76,1.0
0.8,0.11,ptll_76_106_table,1.0
0.8,0.11,ttbar_mtt_8tev_cms,1.0
0.8,0.11,z_pt_7tev_atlas,1.0
0.8,0.12,atlas_4l_m4l_8tev,1.0
0.8,0.12,atlas_4l_pt4l_8tev,1.0
